City ID,City Name,Country,Cloudiness,Max Temp,Wind Speed,Humidity,Lat,Lng
331,Sitka,US,75,60.69,8.05,72,57.0531,-135.33
332,Itoman,JP,75,78.82,11.5,94,26.1247,127.6694
333,Ferrol,ES,17,68.52,10.54,87,43.4832,-8.2369
334,Aljezur,PT,0,64.29,8.16,90,37.3191,-8.8033
335,Egvekinot,RU,100,33.53,6.73,94,66.3167,-179.1667
336,College,US,20,73.99,6.91,46,64.8569,-147.8028
337,Sept-Îles,CA,90,56.05,3.0,63,50.2001,-66.3821
338,Tazovsky,RU,40,51.44,7.02,95,67.4667,78.7
339,Krasnokamensk,RU,100,56.66,5.61,87,50.0979,118.0369
340,Walvis Bay,NA,0,71.1,4.61,23,-22.9575,14.5053
341,Tarko-Sale,RU,99,57.0,11.03,88,64.9225,77.785
342,Pangnirtung,CA,90,33.8,17.27,86,66.1451,-65.7125
343,Moindou,NC,84,67.95,8.93,89,-21.6924,165.677
344,Española,US,1,101.28,7.23,7,35.9911,-106.0806
345,Ipixuna,BR,60,85.95,4.45,86,-1.7625,-48.8043
346,Koutsouras,GR,17,70.11,6.67,77,35.0339,25.9469
347,Hirado,JP,96,75.38,6.22,80,33.3597,129.5531
348,Atasū,KZ,70,66.47,9.95,50,48.6814,71.6433
349,Pithorāgarh,IN,82,63.7,3.58,94,29.5833,80.2167
350,Prince Rupert,CA,90,59.09,8.05,72,54.3161,-130.3201
351,Torbat-e Jām,IR,0,76.73,8.28,15,35.244,60.6225
352,Tacuarembó,UY,0,65.41,5.93,65,-31.7333,-55.9833
353,Capela,BR,38,76.93,8.59,92,-10.5033,-37.0528
354,Erenhot,CN,100,66.63,7.31,55,43.6475,111.9767
355,Calvinia,ZA,77,58.26,2.66,41,-31.4707,19.776
356,Codrington,AU,100,51.13,7.65,65,-38.2667,141.9667
357,Waipawa,NZ,52,56.44,12.91,82,-41.4122,175.5153
358,Collie,AU,99,46.98,4.56,81,-33.3667,116.15
359,Kununurra,AU,86,57.18,0.0,82,-15.7667,128.7333
360,Odienné,CI,37,83.17,5.88,53,9.51,-7.5692
361,Provincia di Ancona,IT,0,73.35,2.3,53,43.55,13.1667
362,Ixtapa,MX,40,86.23,10.36,70,20.7,-105.2
363,Gornyy,RU,43,49.8,2.08,79,55.1153,83.9059
364,Hambantota,LK,86,79.45,17.63,81,6.1241,81.1185
365,Provincie Utrecht,NL,100,73.62,1.99,62,52.0,5.25
366,Jimo,CN,75,69.58,8.95,88,36.3897,120.4622
367,Padang,ID,96,77.59,3.6,86,-0.9492,100.3543
368,Antofagasta,CL,99,61.88,6.33,59,-23.65,-70.4
369,Westport,US,90,73.33,1.01,89,41.1415,-73.3579
370,Vorobyevka,RU,19,63.9,4.05,90,50.6451,40.9245
371,Iralaya,HN,100,80.69,12.44,79,15.0,-83.2333
372,Dombarovskiy,RU,11,70.18,9.57,39,50.7587,59.5386
373,Yumen,CN,100,61.09,15.48,60,40.2833,97.2
374,Biak,ID,100,74.86,1.41,87,-0.9131,122.8766
375,Songjianghe,CN,100,58.75,3.8,96,42.1859,127.479
376,Skellefteå,SE,90,57.0,1.01,59,64.7507,20.9528
377,Cabo San Lucas,MX,90,92.52,0.0,65,22.8909,-109.9124
378,Ribeira Grande,PT,40,73.8,4.61,73,38.5167,-28.7
379,Nyurba,RU,82,51.67,2.91,84,63.2842,118.3319
380,Lata,PT,27,70.36,1.52,81,40.1629,-8.3327
381,Krasnokholmskiy,RU,100,64.33,7.67,92,55.9873,55.0466
382,Wuda,CN,56,73.71,2.01,45,39.4994,106.7117
383,Aykhal,RU,72,41.76,3.56,72,66.0,111.5
384,Ucluelet,CA,60,70.95,1.01,75,48.9329,-125.5528
385,Henties Bay,NA,0,70.86,6.06,49,-22.116,14.2845
386,Mackay,AU,75,67.68,6.91,100,-21.15,149.2
387,Constitución,CL,100,56.01,7.14,57,-35.3333,-72.4167
388,Ziro,IN,93,59.85,0.89,97,27.6333,93.8333
389,Inírida,CO,89,79.95,1.83,83,3.8653,-67.9239
390,Mahibadhoo,MV,1,82.92,12.66,72,3.7833,72.9667
391,Anderson,US,1,96.17,1.01,57,34.5334,-82.6499
392,Hervey Bay,AU,24,62.02,4.0,88,-25.2986,152.8535
393,Gerāsh,IR,0,89.74,2.98,7,27.6652,54.1371
394,Atar,MR,86,103.96,10.11,9,20.5169,-13.0499
395,Rocha,UY,40,57.78,10.31,83,-34.4833,-54.3333
396,Dalmatovo,RU,63,64.35,9.98,62,56.26,62.9362
397,Sola,VU,73,80.46,13.09,79,-13.8833,167.55
398,Techiman,GH,35,73.72,3.29,88,7.5862,-1.9414
399,Niltepec,MX,100,80.98,3.31,84,16.5667,-94.6167
400,Port Keats,AU,95,68.67,2.15,62,-14.25,129.55
401,Mikuni,JP,2,66.11,2.82,93,36.2171,136.1519
402,Saint-Pierre,RE,0,71.24,5.75,69,-21.3393,55.4781
403,San,ML,79,98.55,9.86,26,13.3034,-4.8956
404,Dhing,IN,93,79.63,1.12,90,26.4667,92.4667
405,Ngunguru,NZ,100,61.16,8.01,93,-35.6167,174.5
406,Hay River,CA,75,75.16,8.05,38,60.8156,-115.7999
